id,text,swipe,district
7d7053bec0829151665e5976,gleimstraße 4,t,nordend-west
7d7053bec0829151665e5976,fahrgasse 91,t,altstadt
7d7053bec0829151665e5976,langobardenweg 21,f,unterliederbach
7d7053bec0829151665e5976,eiserne hand 36,t,nordend-west
7d7053bec0829151665e5976,max-bock-straße 20,t,dornbusch
7d7053bec0829151665e5976,paul-gerhardt-ring 86,f,niederrad
7d7053bec0829151665e5976,ammelburgstraße 17,f,dornbusch
7d7053bec0829151665e5976,im mellsig 44,f,eschersheim
7d7053bec0829151665e5976,taschnerstraße 19,f,bergen-enkheim
7d7053bec0829151665e5976,speicherstraße 339,f,gutleutviertel
7d7053bec0829151665e5976,franklinstraße 42,f,bockenheim
7d7053bec0829151665e5976,thorwaldsenstraße 36,t,sachsenhausen-n
7d7053bec0829151665e5976,raiffeisenstraße 104,f,riederwald
7d7053bec0829151665e5976,ziegenhainer straße 218,f,dornbusch
7d7053bec0829151665e5976,rückertstraße 28,f,ostend
7d7053bec0829151665e5976,wartburgstraße 67,f,unterliederbach
7d7053bec0829151665e5976,alkmenestraße 80,f,preungesheim
7d7053bec0829151665e5976,seehofsweg 13,f,sachsenhausen-s
7d7053bec0829151665e5976,franz-rücker-allee 70,t,bockenheim
7d7053bec0829151665e5976,iselinstraße 4,f,riederwald
7d7053bec0829151665e5976,nesselbuschstraße 8,f,heddernheim
7d7053bec0829151665e5976,humbrachtstraße 2,t,nordend-west
7d7053bec0829151665e5976,karl-von-drais-straße 14,f,eckenheim
7d7053bec0829151665e5976,am herrenhof 40,f,berkersheim
7d7053bec0829151665e5976,grillparzerstraße 74,f,dornbusch
7d7053bec0829151665e5976,wehrhofstraße 13,f,rödelheim
7d7053bec0829151665e5976,römerberg 17,f,altstadt
7d7053bec0829151665e5976,kasinostraße 9,t,höchst
7d7053bec0829151665e5976,karl-marx-straße 55,f,riederwald
7d7053bec0829151665e5976,auf dem schafberg 41,f,griesheim
7d7053bec0829151665e5976,niddagaustraße 51,f,rödelheim
7d7053bec0829151665e5976,parkstraße 21,f,westend-nord
7d7053bec0829151665e5976,amaliestraße 9,f,bergen-enkheim
7d7053bec0829151665e5976,finkenhofstraße 26,f,nordend-west
7d7053bec0829151665e5976,else-epstein-weg 4,t,nordend-west
7d7053bec0829151665e5976,hohe brück 11,f,nieder-erlenbach
7d7053bec0829151665e5976,lochmühlstraße 60,t,nieder-erlenbach
7d7053bec0829151665e5976,hochfeldstraße 23,f,harheim
7d7053bec0829151665e5976,stephan-heise-straße 24,t,praunheim
7d7053bec0829151665e5976,heussenstammstraße 17,f,dornbusch
7d7053bec0829151665e5976,waldemser straße 7,f,gallus
7d7053bec0829151665e5976,neuer weg 22,f,bergen-enkheim
7d7053bec0829151665e5976,otzbergstraße 10,f,niederrad
7d7053bec0829151665e5976,hofgartenweg 33,f,seckbach
7d7053bec0829151665e5976,hochstraße 44,t,innenstadt
7d7053bec0829151665e5976,im prüfling 48,f,bornheim
7d7053bec0829151665e5976,pommernstraße 9,f,nieder-erlenbach
7d7053bec0829151665e5976,melli-beese-straße 12,f,bockenheim
7d7053bec0829151665e5976,konrad-meyer-weg 2,f,sossenheim
7d7053bec0829151665e5976,im geeren 123,f,eschersheim
7d7053bec0829151665e5976,schlickstraße 3,f,dornbusch
7d7053bec0829151665e5976,max-eyth-straße 4,f,fechenheim
7d7053bec0829151665e5976,stegstraße 59,f,sachsenhausen-n
7d7053bec0829151665e5976,horles 8,t,sindlingen
7d7053bec0829151665e5976,colmarer straße 17,f,schwanheim
7d7053bec0829151665e5976,haintalstraße 71,f,harheim
7d7053bec0829151665e5976,okrifteler straße 106,f,sindlingen
7d7053bec0829151665e5976,mittlerer schafhofweg 42,f,sachsenhausen-s
7d7053bec0829151665e5976,hermann-brill-straße 2,f,sindlingen
7d7053bec0829151665e5976,taunusstraße 61,f,bahnhofsviertel
7d7053bec0829151665e5976,hofgartenweg 38,f,seckbach
7d7053bec0829151665e5976,leonardo-da-vinci-allee 14,f,bockenheim
7d7053bec0829151665e5976,hochstädter straße 28,f,seckbach
7d7053bec0829151665e5976,alt-niedereschbach 29,f,nieder-eschbach
7d7053bec0829151665e5976,funckstraße 10,f,bockenheim
7d7053bec0829151665e5976,alzeyer straße 12,f,nied
7d7053bec0829151665e5976,brand 12,f,höchst
7d7053bec0829151665e5976,wendelsweg 101,f,sachsenhausen-s
7d7053bec0829151665e5976,buchenstraße 7,t,griesheim
7d7053bec0829151665e5976,riedstraße 83,t,bergen-enkheim
7d7053bec0829151665e5976,falkstraße 111,t,bockenheim
7d7053bec0829151665e5976,im bärengarten 9,f,sachsenhausen-n
7d7053bec0829151665e5976,am bonifatiusbrunnen 185,t,kalbach-riedberg
7d7053bec0829151665e5976,an der mainkur 4,f,fechenheim
7d7053bec0829151665e5976,heddernheimer kirchstraße 28,f,heddernheim
7d7053bec0829151665e5976,tarnowitzer straße 42,f,griesheim
7d7053bec0829151665e5976,kurfürstenplatz 37,f,bockenheim
7d7053bec0829151665e5976,triebstraße 44,f,bergen-enkheim
7d7053bec0829151665e5976,breitlacherstraße 69,f,rödelheim
7d7053bec0829151665e5976,karlsruher straße 1,t,gutleutviertel
7d7053bec0829151665e5976,bachstelzenweg 9,t,unterliederbach
7d7053bec0829151665e5976,bundenweg 33,t,dornbusch
7d7053bec0829151665e5976,am köstrich 5,f,rödelheim
7d7053bec0829151665e5976,in den grummetwiesen 14,f,praunheim
